PrimeType,Prime,CompanionType,CompanionPrime,Digits,Attempts,UTC Timestamp,SHA256
Safe,210461045601075229166576395996175125012299586169451914600478563921185527620043521002539840943550498543364487679604911875668079897458058872325106112331792045541408896198714271537763927741857363545825769982767680020634300898925399780841746595897798593229570454948650249002058225427358764163580286287001533264074855520825917613459304777375567860958326214032038975290377932490431785684273600744211290391922371954127687344779585829634536458140945498617701450418799289360336268120614681329692622741779888815181479013104289775258125590441758465935015612435953470583643782338496348689707279946889933159454057219241747825644539476294856736260027299420196535859452463198928615496698221141063069296088390716920263632515558692607050421098787010327480659388677526207444807337880211837148780997466819559958875166963954860430523698938932708328528779046650895693914382273240464302420558170387125774262769862543479806951055124603943968386944489711555615271938268792678674531284841194737540561679125172099117238399878399941625053787747050800212679689584565350751323033338382184549076065999601069240704646391422721427163536573794516361787322077385216605354253146767550856782755867638775051644892741115343769591830803941174661619227836283356692646720047,Sophie,105230522800537614583288197998087562506149793084725957300239281960592763810021760501269920471775249271682243839802455937834039948729029436162553056165896022770704448099357135768881963870928681772912884991383840010317150449462699890420873297948899296614785227474325124501029112713679382081790143143500766632037427760412958806729652388687783930479163107016019487645188966245215892842136800372105645195961185977063843672389792914817268229070472749308850725209399644680168134060307340664846311370889944407590739506552144887629062795220879232967507806217976735291821891169248174344853639973444966579727028609620873912822269738147428368130013649710098267929726231599464307748349110570531534648044195358460131816257779346303525210549393505163740329694338763103722403668940105918574390498733409779979437583481977430215261849469466354164264389523325447846957191136620232151210279085193562887131384931271739903475527562301971984193472244855777807635969134396339337265642420597368770280839562586049558619199939199970812526893873525400106339844792282675375661516669191092274538032999800534620352323195711360713581768286897258180893661038692608302677126573383775428391377933819387525822446370557671884795915401970587330809613918141678346323360023,1233,344050,2025-08-04 12:44:46 UTC,108612d58a773df48dbd6f71029b168b44908ceb0841c8a307316f017d58d4ef
Safe,298784008869421284507471741839963431288352706062979979628440710264352637465486253257741606229268020377704441995766572049712515189548641806573519459013214001459657060942554924172257896712342930771530026633057030146346002752284847638681756512638189986470944882019895292330367973524791096658939312878630386990388007715855809263140890541011170425134338998824832018157779461030209272414581636417637579135042271863277937511433507062275748819356635680582172917158759930283729183046995343774222674146469273568555206442739362527359952751251408335962173527032535951104433054951725994298752556736039786789721759527912149309756101207025019450045854425097030525649244559114730805910295194024235282255134020348381121964865116088809347992831257722480652504186887281356409721190448923502593212225784371098514575346640873563295505489108281970150370870036559762949357725247055552685955174950433498485167314925122108838195693892187511793396525258550053695600331622165569383346383090137060706127860071988429492989925179724753889046524367521553745603917127052955022852272540223766267783776808556110106299122097432900498412339212835571878899986248401495787396447174588592711482575465127063957648557260934117710145691118182705049190773761116413069494858359,Sophie,149392004434710642253735870919981715644176353031489989814220355132176318732743126628870803114634010188852220997883286024856257594774320903286759729506607000729828530471277462086128948356171465385765013316528515073173001376142423819340878256319094993235472441009947646165183986762395548329469656439315193495194003857927904631570445270505585212567169499412416009078889730515104636207290818208818789567521135931638968755716753531137874409678317840291086458579379965141864591523497671887111337073234636784277603221369681263679976375625704167981086763516267975552216527475862997149376278368019893394860879763956074654878050603512509725022927212548515262824622279557365402955147597012117641127567010174190560982432558044404673996415628861240326252093443640678204860595224461751296606112892185549257287673320436781647752744554140985075185435018279881474678862623527776342977587475216749242583657462561054419097846946093755896698262629275026847800165811082784691673191545068530353063930035994214746494962589862376944523262183760776872801958563526477511426136270111883133891888404278055053149561048716450249206169606417785939449993124200747893698223587294296355741287732563531978824278630467058855072845559091352524595386880558206534747429179,1233,613656,2025-08-04 13:42:00 UTC,68f32fc33013140d97a4296e68413ac721290a2d215f9b1139713e8d872d3de5
Sophie,151685427495098425771378238321028001005320126153501615566684240218129024539163591240923222239082511676964060122292791970371724830389816750041577837940886273613342024467985498908409671808298177935122463901028852322179827011228929025797844170224089988094286460414561547709643494275554403253306652031826538091754712165342907483789810978883509554746062047202714659689197451614179449256627910309729435465959424777625331661013154138226770262330266045668671816378890215254581994436506117351612076181145444719496882709505347236056182179632401051492399348299324125725449923950591768381310357095494721725269493255995366682609731464763014664136388366238096167889840767533688425788653035265435192008599019407124823250370152701093675900475141911414962923411445820412550319467694402873365146027803680310153847612806265171224130411006494776963781079782807122125946418560302175941219255177960891009928071785468577714063488284734943150278056976117449738776387266704770541550874084879811720457867324460889019157466615102925592044300097281614748649738059152831300509848096394511319077622423526624255363615301799536300435733505797826475665899896449663417387470378289448619267106219658423314179865059892111984956206408518024506203278929607925542200193609,Safe,303370854990196851542756476642056002010640252307003231133368480436258049078327182481846444478165023353928120244585583940743449660779633500083155675881772547226684048935970997816819343616596355870244927802057704644359654022457858051595688340448179976188572920829123095419286988551108806506613304063653076183509424330685814967579621957767019109492124094405429319378394903228358898513255820619458870931918849555250663322026308276453540524660532091337343632757780430509163988873012234703224152362290889438993765419010694472112364359264802102984798696598648251450899847901183536762620714190989443450538986511990733365219462929526029328272776732476192335779681535067376851577306070530870384017198038814249646500740305402187351800950283822829925846822891640825100638935388805746730292055607360620307695225612530342448260822012989553927562159565614244251892837120604351882438510355921782019856143570937155428126976569469886300556113952234899477552774533409541083101748169759623440915734648921778038314933230205851184088600194563229497299476118305662601019696192789022638155244847053248510727230603599072600871467011595652951331799792899326834774940756578897238534212439316846628359730119784223969912412817036049012406557859215851084400387219,1233,956250,2025-08-04 14:54:29 UTC,e94b63e51b20e95ec91beadd03aef555a6e52dc154d0a8dd6d018d90d4b54b66
Safe,363710191892884448762529126975286637354892779536645358948298745329155536659405914176365742118000033711946011090889725542976619355526819585247592414565819250698195648972264744227610092930134071795080878039562989843334993363431778733047395530990189261122660753613531445838551877425875866996400275470700842575738465024039237915324922648914854757370032017687803843135655904359061454567290071165538409090826688650859171454789042620493043443572331830235753207109988928384614565726321706132735832966449559066950945935931789176080939901186644856837462406833205195751769594618700332004224597434158273400982231383820777414848682233192789780970246197591702388265543057349868254436345363809170926659072462223110316497108723062569266509793763816521914267814850242227812371551771152434603683536536344967155105901754864249842935887471055880506801645467670448698341278010990970852404854504450008862834409103686725297346792934875515921344870120266759036734470363221039059206033128309823996909957924995094426508214277186054884152978066765573102860031605840696752655409424262807726764839358286648430732286809164260031155948146256642226031697563826234514225716597397848194743186514480602235835021633675943002426972583338149285328648981815846618879061023,Sophie,181855095946442224381264563487643318677446389768322679474149372664577768329702957088182871059000016855973005545444862771488309677763409792623796207282909625349097824486132372113805046465067035897540439019781494921667496681715889366523697765495094630561330376806765722919275938712937933498200137735350421287869232512019618957662461324457427378685016008843901921567827952179530727283645035582769204545413344325429585727394521310246521721786165915117876603554994464192307282863160853066367916483224779533475472967965894588040469950593322428418731203416602597875884797309350166002112298717079136700491115691910388707424341116596394890485123098795851194132771528674934127218172681904585463329536231111555158248554361531284633254896881908260957133907425121113906185775885576217301841768268172483577552950877432124921467943735527940253400822733835224349170639005495485426202427252225004431417204551843362648673396467437757960672435060133379518367235181610519529603016564154911998454978962497547213254107138593027442076489033382786551430015802920348376327704712131403863382419679143324215366143404582130015577974073128321113015848781913117257112858298698924097371593257240301117917510816837971501213486291669074642664324490907923309439530511,1233,1034314,2025-08-04 15:11:09 UTC,9b32c7713691b67af2f3b4a682d86a44cea01b74b697848720af1e72cd38dd9b
Safe,379010508043083456191631675206917038559624915969657963217113818303664133401791940248833810559127751441230528846340443310601050487440959100715699251290825281855195992101878582974320952480756322981973259480883490191290024005789362493298338848042034274891574547293083746781295316593936945576406462498686053173429195521428851276135953112424479286413684269419177763608507147076381272946987676666964651916942792754168397204840328175735940749969458806541596486116535792651791063018393615286227164555447963205383456077835107026901216607178052588484106153943237333494466926600797444180318320930495666541953038629145826937912624375784002381439873415162414395829744353103702049836656501057835381411314180280295012820681668967357229493637057655797647080413992831510991258260544402115612939106319897611895737531974727282922478138943117543991490675990010515087480853330822473757011276733052751818880647240196665950039556551195676655145397239946230956230329832057704444286376824277169804414345724949880745830935421722726610286365277074958844056978524735732690747192895157897620317655107200085525827483727649716974322045618097265705651704717417037787921769098555272186185390483670781919452542498924680153740527342694079606353293341258507708651118939,Sophie,189505254021541728095815837603458519279812457984828981608556909151832066700895970124416905279563875720615264423170221655300525243720479550357849625645412640927597996050939291487160476240378161490986629740441745095645012002894681246649169424021017137445787273646541873390647658296968472788203231249343026586714597760714425638067976556212239643206842134709588881804253573538190636473493838333482325958471396377084198602420164087867970374984729403270798243058267896325895531509196807643113582277723981602691728038917553513450608303589026294242053076971618666747233463300398722090159160465247833270976519314572913468956312187892001190719936707581207197914872176551851024918328250528917690705657090140147506410340834483678614746818528827898823540206996415755495629130272201057806469553159948805947868765987363641461239069471558771995745337995005257543740426665411236878505638366526375909440323620098332975019778275597838327572698619973115478115164916028852222143188412138584902207172862474940372915467710861363305143182638537479422028489262367866345373596447578948810158827553600042762913741863824858487161022809048632852825852358708518893960884549277636093092695241835390959726271249462340076870263671347039803176646670629253854325559469,1233,1402776,2025-08-04 16:28:04 UTC,588ce6547b5c9fed6709473cb84ca95cd64f55e122b8c52363aad776ff61de53
