PrimeType,Prime,CompanionType,CompanionPrime,Digits,Attempts,UTC Timestamp,SHA256
Sophie,600245173635402119585030418413769819620231685319848971713873761369377601254750784007205683791931285348249160324858681638987041859259550735790879697279,Safe,1200490347270804239170060836827539639240463370639697943427747522738755202509501568014411367583862570696498320649717363277974083718519101471581759394559,150,36659,2025-08-04 11:26:08 UTC,823d8cb91174c6838aa48dd0fe42a6e655739df09f6a745e8ac3101d0e53c384
Safe,406260567329969464617092654955594703231395491569140005315327297298838423805878949244386852250540094706033472398803742983662686464142814867824541110399,Sophie,203130283664984732308546327477797351615697745784570002657663648649419211902939474622193426125270047353016736199401871491831343232071407433912270555199,150,37885,2025-08-04 11:26:08 UTC,c165d96739403b53373cb1cda21a9bf586599240d850c739307508944d67aae6
Safe,813265710098544151722218326813545544471052566954943705067138298933227373867583028249819084667197850178340162526406125241375967678857114641524923364863,Sophie,406632855049272075861109163406772772235526283477471852533569149466613686933791514124909542333598925089170081263203062620687983839428557320762461682431,150,45539,2025-08-04 11:26:09 UTC,5e2d55b8d5b3aea6c5e83e02b1a959ae4bb3a6081d22a73fe9a64d2f14ddae8c
Safe,615360366208815685446962844209501968955320997607579434727581249783542030837567047206732495695213049726888938284454678337153116835561093252386505412539,Sophie,307680183104407842723481422104750984477660498803789717363790624891771015418783523603366247847606524863444469142227339168576558417780546626193252706269,150,48084,2025-08-04 11:26:09 UTC,45fa1895e80144080aa4d9682e98cb1cc3f987ccb5f73e0b56454be15a6b0a11
Sophie,505106072395153110947937765001996206627681039728336361048283512688031988991605813300754011116095277456615240525686554142621362425809624954275428854169,Safe,1010212144790306221895875530003992413255362079456672722096567025376063977983211626601508022232190554913230481051373108285242724851619249908550857708339,150,45675,2025-08-04 11:26:09 UTC,6ba956fd7beb55ab55f0c8fc0abcdedd01b66ffb45481b1d4b7419a8b853e5f5
Sophie,475389692925530190878245010738246776748478380836189460750886845593567844674009899825205455527936694176261389568613302293410560755508740518960265258559,Safe,950779385851060381756490021476493553496956761672378921501773691187135689348019799650410911055873388352522779137226604586821121511017481037920530517119,150,48133,2025-08-04 11:26:09 UTC,9240e1641a5e95388b167711746a3fb64d36579d948475dd25b20f30a78b1f7a
Sophie,272434695895395111683937915137596639959923106732353124677463832958837418319816812460556838314029111586126315202721320757825066001641926429122053736801,Safe,544869391790790223367875830275193279919846213464706249354927665917674836639633624921113676628058223172252630405442641515650132003283852858244107473603,150,47052,2025-08-04 11:26:09 UTC,2e0eeb602085726f50467303348fa38233c7695f570bea633be4448fd3dfe523
Sophie,579177064830803341444702265494224348627279025030797532345177806007403707225830962732583834007059323323892844869553450056060549911152596995384078814351,Safe,1158354129661606682889404530988448697254558050061595064690355612014807414451661925465167668014118646647785689739106900112121099822305193990768157628703,150,49957,2025-08-04 11:26:09 UTC,372a16af258008c632936e8433a8e7bab7d9a3b5d576715e3a54abc008cada9e
Safe,249425290438245330890284225629697777266674986222181812054085821892301770447679806286403102123722299706183322168294124245079370152406472171398901070927,Sophie,124712645219122665445142112814848888633337493111090906027042910946150885223839903143201551061861149853091661084147062122539685076203236085699450535463,150,52007,2025-08-04 11:26:09 UTC,3dfb06064a71c700fd008fe039da6989d3de4e4010906189aaa3c65a525a616d
Safe,282978774331468949255653151918906453327586929548054023088485860260880990219026934106692117704208261491919220896959390198938865491735419459192855426423,Sophie,141489387165734474627826575959453226663793464774027011544242930130440495109513467053346058852104130745959610448479695099469432745867709729596427713211,150,53724,2025-08-04 11:26:09 UTC,4b3bf4899990ea1ebedd6d4db39d56f6d6bf688cb1991229dd086f45fe0e045b
Safe,190571388101770815799801798977571735235531760938588976142767480059392007803720173642420544463378350648061872880468537952305538206999794027406377062479,Sophie,95285694050885407899900899488785867617765880469294488071383740029696003901860086821210272231689175324030936440234268976152769103499897013703188531239,150,55752,2025-08-04 11:26:09 UTC,0b09f8139afca2bbbc7888bbf948fb4387791fa281f8032ddae6c8b1a12e3bcf
Sophie,198682194058070553434970169383274100840792262706149407063682571116657651105167762151047063316575852222963976469213539523728458326540955523209256686531,Safe,397364388116141106869940338766548201681584525412298814127365142233315302210335524302094126633151704445927952938427079047456916653081911046418513373063,150,56530,2025-08-04 11:26:09 UTC,8dec5f94e4331763638ba85fe6eb45b437f6301ac4fa69e324878aa4388170f4
Sophie,601502595347648753330759075859364220383873023715472035592284304205044924522099320452550909127888242798898909114545048163759459268677380574549947524881,Safe,1203005190695297506661518151718728440767746047430944071184568608410089849044198640905101818255776485597797818229090096327518918537354761149099895049763,150,57192,2025-08-04 11:26:09 UTC,995af0711994aaa16f2911424cf0276dc0263a870f33b49a7f9c37d73ef4ef42
Safe,520249132376750553316493672873135873491725842773240655999776108182537877057774747122027837230097139311495411682829652632626687935891260994068476578143,Sophie,260124566188375276658246836436567936745862921386620327999888054091268938528887373561013918615048569655747705841414826316313343967945630497034238289071,150,65344,2025-08-04 11:26:10 UTC,894c10a3f7249e11e6d62b99ecc0e0d87ffc2d3b114444ef542c396b3ee5601a
Sophie,653773178973563570940835643860595152225960814786359018452738502485552942908637895247980527664257326967773079098999363389996253201057116852159201952453,Safe,1307546357947127141881671287721190304451921629572718036905477004971105885817275790495961055328514653935546158197998726779992506402114233704318403904907,150,75397,2025-08-04 11:26:10 UTC,a99b558dc1756171f76bfffa8906278bb968677be947d5117f5328225ab895ba
Sophie,491495359434569552798160217785397618784518991578912786168942395406035709259473316908896532328415395480623011552008046712036332192158727483523697009309,Safe,982990718869139105596320435570795237569037983157825572337884790812071418518946633817793064656830790961246023104016093424072664384317454967047394018619,150,78626,2025-08-04 11:26:10 UTC,0126002d0dcf83009d47bf94f5e7348760a2db8e0e3955631326d1d20c3488b9
Sophie,324865377303240327780577946573891983606435608467034574135700784131061298225783732478878124111456738256502797556050980772797215761773215767231300045629,Safe,649730754606480655561155893147783967212871216934069148271401568262122596451567464957756248222913476513005595112101961545594431523546431534462600091259,150,78804,2025-08-04 11:26:10 UTC,907d55dd2f9049f34c2ba17ce99fa77e5f1f2a0e182dc7f21b0ff0f5c8c22eab
Sophie,762514799821615129768626265389161721327078817280401125633771227607934882644649055393068349177881966303707397205979567968443528417662635594140056745901,Safe,1525029599643230259537252530778323442654157634560802251267542455215869765289298110786136698355763932607414794411959135936887056835325271188280113491803,150,80511,2025-08-04 11:26:11 UTC,1410cb1f963a4523fc46120d8ae1d4fc55b74fb35a9db0a97ae857be12495ead
Sophie,403323698291470461738113705500098406076122162793060446294539641432250069207569535566976495892229557030004813122793857345254873894246267259869617706881,Safe,806647396582940923476227411000196812152244325586120892589079282864500138415139071133952991784459114060009626245587714690509747788492534519739235413763,150,85972,2025-08-04 11:26:11 UTC,2b22171f724ee09a900208f6b85b31e733f46a5201cbfe3c65e9494f5a2cabd7
Safe,271750155825793444837518695397266496279356086697511000518606131896637375725278239725724426201651924781185707586091321969462409914174507910749661273203,Sophie,135875077912896722418759347698633248139678043348755500259303065948318687862639119862862213100825962390592853793045660984731204957087253955374830636601,150,92997,2025-08-04 11:26:11 UTC,72664c0c438cc5ea9f8d947bb19f924eda0fa5407c95d762d858f02bbae60cf4
Safe,216085563472115665564601255055863411853662514181042624168846897547438532335673242409945563496037271591071913659178045836322805090954746445133935550787,Sophie,108042781736057832782300627527931705926831257090521312084423448773719266167836621204972781748018635795535956829589022918161402545477373222566967775393,150,92528,2025-08-04 11:26:11 UTC,7c25d8cc654debce7ec6d655b571bda17a3ed3ace9a8e4c8ceac5bfc6d269073
Sophie,533093843094144099635917691627853460623665532736390168668631148465766647342070669457458377501683062155739966007583376117961213591531006084406627661401,Safe,1066187686188288199271835383255706921247331065472780337337262296931533294684141338914916755003366124311479932015166752235922427183062012168813255322803,150,97559,2025-08-04 11:26:11 UTC,b6fea166c824c6d02b812ce4e63f9abfdf9043bc3956402850391ac73e4c57e2
Sophie,278965007293300394149994036404639793215578951343623383888394503983209433044887782933788357419628835613245727921647139915584301875869819464995934400581,Safe,557930014586600788299988072809279586431157902687246767776789007966418866089775565867576714839257671226491455843294279831168603751739638929991868801163,150,97288,2025-08-04 11:26:11 UTC,07e664f41c40c2d472a5016314b7af8e9b2f17c8ded13d9dd605aadfbaa22cf2
Sophie,134135523581929442323220306120257069926967137128015699672695786652717495012712289764042943494946629932952783013435798986103518924357471513980194227359,Safe,268271047163858884646440612240514139853934274256031399345391573305434990025424579528085886989893259865905566026871597972207037848714943027960388454719,150,98204,2025-08-04 11:26:12 UTC,ffef26dfb796fe3526b2710c90ae94ef2c23b22a9f223649fd7e0266b0ae7987
Sophie,739304009922233362281297706002558432370140230294114098962121987372181583500912028649892733096463214122685442350740025524787279843715505809249832053749,Safe,1478608019844466724562595412005116864740280460588228197924243974744363167001824057299785466192926428245370884701480051049574559687431011618499664107499,150,110519,2025-08-04 11:26:12 UTC,f55d1200f4f0c7a01867366819b2adbf8ec60242a36f02c62f178c423f7fc6f1
Safe,637972387095060559085374151694617880920878175222911157899127523644449162300097055171361891927429256165083777022784507343085940988258854027336028746887,Sophie,318986193547530279542687075847308940460439087611455578949563761822224581150048527585680945963714628082541888511392253671542970494129427013668014373443,150,116594,2025-08-04 11:26:12 UTC,c6e8ea2a3c3e9f8c5cf917322cb1f0a4cb3d68fb6a9879fc4c47bcfa5be53821
Sophie,308830110475955166142134060472836668031249654975314265532561403487281658538660896936617007214984993996614933063518224308407726187159732198069744957269,Safe,617660220951910332284268120945673336062499309950628531065122806974563317077321793873234014429969987993229866127036448616815452374319464396139489914539,150,115485,2025-08-04 11:26:12 UTC,61cd115009620bc91b1f75f82df01f4ceb2090de9c5ea398f9d490ade5d2f416
Safe,238889597134096124720901302508415936648687437252302580365779254706883802442332831549037357802505854298624799088991212858856590126256083831824094301047,Sophie,119444798567048062360450651254207968324343718626151290182889627353441901221166415774518678901252927149312399544495606429428295063128041915912047150523,150,113715,2025-08-04 11:26:12 UTC,ce3a0f8f937666a40503a80250d9215742445a2bc55df93632f3e28c578f2329
Safe,248633525542438716526711642376405834938076892972053170561362769865893862357067938483051171534157090200602100325173590266526884784528850028008736417743,Sophie,124316762771219358263355821188202917469038446486026585280681384932946931178533969241525585767078545100301050162586795133263442392264425014004368208871,150,119806,2025-08-04 11:26:13 UTC,3f162c92f0dfed182fc0fb73327619adb7dbf64e225590e8b99702fdc4293cf5
Sophie,415488184735479653274484108064947105940111966912989773172144006443670623160964948160141476578903468935072320743638182760396707219822440744924124658743,Safe,830976369470959306548968216129894211880223933825979546344288012887341246321929896320282953157806937870144641487276365520793414439644881489848249317487,150,122170,2025-08-04 11:26:13 UTC,6369dcba3c2df1d2ca2031ddf6884a5fc22ba9c349a2e75f0e53eeab664d9471
Sophie,276942816420218484741651786243253451288092866176400988745362118291909386085697644484714474644650126017901232697050586838803755280040526285102974148693,Safe,553885632840436969483303572486506902576185732352801977490724236583818772171395288969428949289300252035802465394101173677607510560081052570205948297387,150,120160,2025-08-04 11:26:13 UTC,b07aa3b2a47cc321a40ebb1dd6902729a900df9b4cc535526409ff9d5a7ad2a6
Sophie,497598158498656619411139989078213370475638777216845972090905189284943814920538712207872027389432586454827239268849129516603352936430943222129528984699,Safe,995196316997313238822279978156426740951277554433691944181810378569887629841077424415744054778865172909654478537698259033206705872861886444259057969399,150,126487,2025-08-04 11:26:13 UTC,965bf8796d9ecedae6beb3f36e24da966b55297f0d27b072d97b85fa73456c7a
Sophie,807727304533704275438650594824307772777521917288774398591298454670806661602278054170712522452123788404549769183268331751963452776733185609955693471221,Safe,1615454609067408550877301189648615545555043834577548797182596909341613323204556108341425044904247576809099538366536663503926905553466371219911386942443,150,136305,2025-08-04 11:26:13 UTC,623fbd58b86a2923a94fe9ccaf55a477af57ad7d4c01ad1313ed7bad73fee51c
