PrimeType,Prime,CompanionType,CompanionPrime,Digits,Attempts,UTC Timestamp,SHA256
Sophie,569875617093496950273011963220276928258609886656468593736525453166224686408044340870545488991614106355496127885373354403739661968860212924518162273489,Safe,1139751234186993900546023926440553856517219773312937187473050906332449372816088681741090977983228212710992255770746708807479323937720425849036324546979,150,218318,2025-08-04 11:26:17 UTC,2da55f2baf3217e0394c33b5d92f886a34702241d047686d3d0329402d93efa7
Sophie,156796621493475377025124912685742262743697524005813442035925962511421599757021181705003976694521312027780402560592954028116404408289424893378880215941,Safe,313593242986950754050249825371484525487395048011626884071851925022843199514042363410007953389042624055560805121185908056232808816578849786757760431883,150,220555,2025-08-04 11:26:18 UTC,9d090d4aa865d5574934559d0954f0c11ff842c345913f663f9645dd97958ae7
Sophie,221971290689669141610817217584716886571044856871782422763842431305291219164879568187591475276740665940915681815569664015920182755438906532530876759531,Safe,443942581379338283221634435169433773142089713743564845527684862610582438329759136375182950553481331881831363631139328031840365510877813065061753519063,150,212177,2025-08-04 11:26:18 UTC,e05d0a6878be1d30fc61f23040f061a096200ba9cc3e1e55cbff60262dbd8f33
Sophie,728082567980944376784575578923931089306860670341669663575548223358334376102515845859380070175550267940273497306865563779975016546051325172072420937261,Safe,1456165135961888753569151157847862178613721340683339327151096446716668752205031691718760140351100535880546994613731127559950033092102650344144841874523,150,226880,2025-08-04 11:26:18 UTC,ee6e8c4a82a3e0c9eb83e96ee993e22ea839715885362ad947fbd2e5868d4a44
Sophie,161408545469714015541693954284574205436155741430852776416152968728745551999207335510956961007867288391344094389369153435945954106924190217254186488799,Safe,322817090939428031083387908569148410872311482861705552832305937457491103998414671021913922015734576782688188778738306871891908213848380434508372977599,150,226361,2025-08-04 11:26:18 UTC,303eb1dca8233cbeb09f920f4283e78d0002a13570b13aa1ecde92eb8f008bd6
Sophie,528976900276707406572146461836421720821615247168777992202912890509922565738298091646960469950081323052427822872292093193591884419553040089724515626331,Safe,1057953800553414813144292923672843441643230494337555984405825781019845131476596183293920939900162646104855645744584186387183768839106080179449031252663,150,226889,2025-08-04 11:26:18 UTC,ab58ff8af2b676a1db7e4a5bfb4d9368ed2a48576c740a6f01a1cd5a250e4410
Sophie,627204425646763881907267264046266232247563186800185535762187288201681111042927446042264331868716709880626352324828321451325947187041901032495049546419,Safe,1254408851293527763814534528092532464495126373600371071524374576403362222085854892084528663737433419761252704649656642902651894374083802064990099092839,150,232459,2025-08-04 11:26:18 UTC,b49b00f92634c7304c786ce70a4c3389f5ebe51389b4cac96fee07fc30bf43c1
Sophie,621146670077909772306465757312350996218499884695989715294117045560767864247493206465451183680881687159959329787473306737691276780782796021983047936721,Safe,1242293340155819544612931514624701992436999769391979430588234091121535728494986412930902367361763374319918659574946613475382553561565592043966095873443,150,230257,2025-08-04 11:26:18 UTC,58b1201a2bf6840e3e142aad3fcd2d12469e1361e905ac348e4caafbc9320856
Sophie,556132242703999885433222014021452919030147886020006099229564781515454077587776638244639731285751183836511645822740156859215873634736458631665150064859,Safe,1112264485407999770866444028042905838060295772040012198459129563030908155175553276489279462571502367673023291645480313718431747269472917263330300129719,150,236204,2025-08-04 11:26:18 UTC,a056af8553d990e9093257a7e4013a35c5cc00acde938edbfe504fb85f3943c1
Sophie,252195029439379036875105286321527204518006374151821577545558392965297493107188767717842888286513473764961193256299022919160472675912161868346937082223,Safe,504390058878758073750210572643054409036012748303643155091116785930594986214377535435685776573026947529922386512598045838320945351824323736693874164447,150,229692,2025-08-04 11:26:18 UTC,0bd2cb0b1bb79e6e1fcc67d6758ace56df401b6cb77b01b41d0174772e4a82a2
Sophie,467972057670668681877060815101364573382174063893798727510513851422209485144384965791182344560726208067553824847668954135718339046262160728224036568159,Safe,935944115341337363754121630202729146764348127787597455021027702844418970288769931582364689121452416135107649695337908271436678092524321456448073136319,150,231442,2025-08-04 11:26:18 UTC,4975d446fb07515a159451afcadfad9d56f2d34df8bcf74d8639791aa2ada282
Safe,549949927919974989337329007218081731587549634690195669930944713651331438649021735067006195150099693205385618780693617122423694466747306131477799157047,Sophie,274974963959987494668664503609040865793774817345097834965472356825665719324510867533503097575049846602692809390346808561211847233373653065738899578523,150,238458,2025-08-04 11:26:18 UTC,ac706f0133512f0a0945a92de3b97cd835e753c23cfa73a2ebc58ba14a49f561
Sophie,734438523996294706509888975090435149520689598127265559391231144546758098399371166845520586141601468726759500166284395465036566825566450497643490619651,Safe,1468877047992589413019777950180870299041379196254531118782462289093516196798742333691041172283202937453519000332568790930073133651132900995286981239303,150,242613,2025-08-04 11:26:19 UTC,e2787aa5036d958dcbc2e4314441f852c430fc7f62500100a7be23f657a7099c
Sophie,576299144404170906016932951816609917698968474004676779742460710066350199263743598157005441941553074563363518873958603783934785359661408766413807351051,Safe,1152598288808341812033865903633219835397936948009353559484921420132700398527487196314010883883106149126727037747917207567869570719322817532827614702103,150,236321,2025-08-04 11:26:19 UTC,380e29d2982dbc1e0e19077b2f3ef59f07be6b4b6e94b8bdbb1758c430519a1b
Sophie,799362386940247636177603407518510594913589202577198680894308171243273420685830925578976385799587250246690512488447863669089561661650225010591226170703,Safe,1598724773880495272355206815037021189827178405154397361788616342486546841371661851157952771599174500493381024976895727338179123323300450021182452341407,150,235512,2025-08-04 11:26:19 UTC,d9912e6e1531e460375402b7a7f912b341b87b829a2b559c456f78f2f89a5a24
Sophie,218013522485212018805793264027638791622687101370173748634162849047310273415150204459615664852118627968027065637408810309811086151019799490875021200811,Safe,436027044970424037611586528055277583245374202740347497268325698094620546830300408919231329704237255936054131274817620619622172302039598981750042401623,150,241537,2025-08-04 11:26:19 UTC,1f56a21ccf44022088722f31233d4b545b53b526edc491bc50e7c8994a38b2d3
Sophie,387841263694777044218695137158345924915151179240424286220181507717752292199309788500297155548254237840680635697755892593581052147553518769796003268569,Safe,775682527389554088437390274316691849830302358480848572440363015435504584398619577000594311096508475681361271395511785187162104295107037539592006537139,150,247049,2025-08-04 11:26:19 UTC,cd274bdb6d88ec4b3368e08e1c58817d9cce51508d31d0a2866f05dc62335b01
Sophie,605157402672055359927006425065830530858752200543776837338975504577658290919268192464946585910542914039850939877957334903123324195984094651936130476481,Safe,1210314805344110719854012850131661061717504401087553674677951009155316581838536384929893171821085828079701879755914669806246648391968189303872260952963,150,244489,2025-08-04 11:26:19 UTC,d7469de4d5f44733cee99ca7580f9ffa38a3edd3c7aaeb0f4197b735e7e48e6c
Safe,176394798582052842358004913863123937190349933436114476903382671385483454487983642568355678915413410751185303344119125073932068585205109100142196640587,Sophie,88197399291026421179002456931561968595174966718057238451691335692741727243991821284177839457706705375592651672059562536966034292602554550071098320293,150,245323,2025-08-04 11:26:19 UTC,5f49d8b3d37f6659a4c4439d8a7dae3a07e402391510374d6c53341ad9c88954
Safe,210154825987734705307060001804470261150128938968515359535457703285233860853843281552496334178468461443505416474853576576505036531983099299539534000047,Sophie,105077412993867352653530000902235130575064469484257679767728851642616930426921640776248167089234230721752708237426788288252518265991549649769767000023,150,247447,2025-08-04 11:26:19 UTC,1297b06226b34bdbcf857538789468519ce96b15f415823f606c4d3b085fead9
Sophie,175471137987575735120169239165295389728803790700439305045776497046733336234065520810124421197786988560169328624189555746751256705259116863942176755929,Safe,350942275975151470240338478330590779457607581400878610091552994093466672468131041620248842395573977120338657248379111493502513410518233727884353511859,150,248944,2025-08-04 11:26:19 UTC,def794733cb947b48621351ba12f0a680f953d5daf598eab5e13d24a92254bed
Sophie,298332837952830273883141572139348905941697934631783943693864195908984145160260697249666744798143040245698394415940424247570058566293350995201246025339,Safe,596665675905660547766283144278697811883395869263567887387728391817968290320521394499333489596286080491396788831880848495140117132586701990402492050679,150,250335,2025-08-04 11:26:19 UTC,4c7f06e94fe33a9cdea2403dd7962871c8b5f94e708fcf8ed84bb9f9f024bd8b
